WardName,textBox10,textBox6,textBox7,textBox12,textBox14,textBox9,textBox20,textBox17,textBox1,textBox2,textBox3,textBox15,textBox16
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,3,"1 115,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,3,"1 115,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,3,"1 115,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,EPIRUBICINE 2mg/ml (MEDAC),Nul,1,"200,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,IMFINZI 50mg/ml (ASTRA ZENECA),Nul,1,"1 500,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,2,"400,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,2,"400,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,MVASI 25mg/ml (AMGEN),Nul,1,"210,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,OXALIPLATINE 5mg/ml (ACCORD),Nul,1,"122,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,PACLITAXEL 6mg/ml (ACCORD),Nul,2,"585,00",mg
1ER ETAGE HDJ,Médicament,Préparations,Dose,Unité de mesure,Cost,11,Nul,Totals:,PACLITAXEL 6mg/ml (ACCORD),Nul,2,"585,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,ETOPOSIDE 20mg/ml (ACCORD),Nul,4,"620,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,ETOPOSIDE 20mg/ml (ACCORD),Nul,4,"620,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,ETOPOSIDE 20mg/ml (ACCORD),Nul,4,"620,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,ETOPOSIDE 20mg/ml (ACCORD),Nul,4,"620,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,HOLOXAN 80mg/ml (BAXTER),Nul,4,"12 920,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,HOLOXAN 80mg/ml (BAXTER),Nul,4,"12 920,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,HOLOXAN 80mg/ml (BAXTER),Nul,4,"12 920,00",mg
1Z2 - UNITE ADOLESCENTS ET JEUNES ADULTES,Médicament,Préparations,Dose,Unité de mesure,Cost,8,Nul,Totals:,HOLOXAN 80mg/ml (BAXTER),Nul,4,"12 920,00",mg
HC 1Z2,Médicament,Préparations,Dose,Unité de mesure,Cost,1,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,1,"300,00",mg
HC 5Z2,Médicament,Préparations,Dose,Unité de mesure,Cost,2,Nul,Totals:,IRINOTECAN 20mg/ml (ACCORD),Nul,2,"140,00",mg
HC 5Z2,Médicament,Préparations,Dose,Unité de mesure,Cost,2,Nul,Totals:,IRINOTECAN 20mg/ml (ACCORD),Nul,2,"140,00",mg
HJ 5Z1,Médicament,Préparations,Dose,Unité de mesure,Cost,1,Nul,Totals:,HOLOXAN 80mg/ml (BAXTER),Nul,1,"1 900,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,CARBOPLATINE 10mg/ml (ACCORD),Nul,10,"4 577,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,DOCETAXEL 20mg/ml (ACCORD),Nul,2,"340,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,DOCETAXEL 20mg/ml (ACCORD),Nul,2,"340,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,DOXORUBICINE 2mg/ml (ARROW),Nul,1,"114,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,EPIRUBICINE 2mg/ml (MEDAC),Nul,2,"330,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,EPIRUBICINE 2mg/ml (MEDAC),Nul,2,"330,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,ETOPOSIDE 20mg/ml (ACCORD),Nul,3,"418,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,ETOPOSIDE 20mg/ml (ACCORD),Nul,3,"418,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,ETOPOSIDE 20mg/ml (ACCORD),Nul,3,"418,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,GEMCITABINE 40mg/mL (ARROW),Nul,2,"3 532,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,GEMCITABINE 40mg/mL (ARROW),Nul,2,"3 532,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,IMFINZI 50mg/ml (ASTRA ZENECA),Nul,1,"1 500,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA 25mg/ml (MSD),Nul,10,"2 000,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,KEYTRUDA AAP 25mg/ml (MSD),Nul,1,"200,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,MVASI 25mg/ml (AMGEN),Nul,3,"1 980,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,MVASI 25mg/ml (AMGEN),Nul,3,"1 980,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,MVASI 25mg/ml (AMGEN),Nul,3,"1 980,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,OXALIPLATINE 5mg/ml (ACCORD),Nul,1,"150,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,TRAZIMERA (PFIZER),Nul,2,"962,00",mg
HJ ENTRESOL,Médicament,Préparations,Dose,Unité de mesure,Cost,38,Nul,Totals:,TRAZIMERA (PFIZER),Nul,2,"962,00",mg
